Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1.352228,1.360000,1.343274,1.359000,1.359000,0
2022-01-10,1.359083,1.374949,1.353418,1.367701,1.367701,0
2022-01-17,1.367353,1.368899,1.354757,1.356000,1.356000,0
2022-01-24,1.355491,1.356668,1.336059,1.341000,1.341000,0
2022-01-31,1.340213,1.362546,1.339531,1.353880,1.353880,0
2022-02-07,1.353363,1.364331,1.349182,1.356399,1.356399,0
2022-02-14,1.357018,1.364070,1.349018,1.359519,1.359519,0
2022-02-21,1.359179,1.363829,1.327598,1.340900,1.340900,0
2022-02-28,1.337006,1.343725,1.320533,1.322900,1.322900,0
2022-03-07,1.321248,1.322594,1.303161,1.304000,1.304000,0
2022-03-14,1.304955,1.321109,1.300136,1.318200,1.318200,0
2022-03-21,1.316067,1.329893,1.312095,1.319200,1.319200,0
2022-03-28,1.317697,1.318061,1.305227,1.311599,1.311599,0
2022-04-04,1.310513,1.316690,1.298482,1.301931,1.301931,0
2022-04-11,1.302948,1.314752,1.297438,1.306100,1.306100,0
2022-04-18,1.305773,1.308832,1.283900,1.284099,1.284099,0
2022-04-25,1.282907,1.282972,1.241403,1.257499,1.257499,0
2022-05-02,1.257379,1.263169,1.227770,1.234100,1.234100,0
2022-05-09,1.232894,1.240495,1.215717,1.227000,1.227000,0
2022-05-16,1.226151,1.252270,1.221896,1.248999,1.248999,0
2022-05-23,1.250688,1.266624,1.247272,1.263011,1.263011,0
2022-05-30,1.262515,1.266031,1.246013,1.248999,1.248999,0
2022-06-06,1.248829,1.259446,1.231557,1.231800,1.231800,0
2022-06-13,1.227807,1.235025,1.199213,1.222700,1.222700,0
2022-06-20,1.222823,1.231922,1.216856,1.226600,1.226600,0
2022-06-27,1.228803,1.233076,1.198064,1.211000,1.211000,0
2022-07-04,1.210580,1.216515,1.187761,1.203100,1.203100,0
2022-07-11,1.201779,1.201995,1.176318,1.185600,1.185600,0
2022-07-18,1.188792,1.206418,1.187550,1.200600,1.200600,0
2022-07-25,1.198423,1.224260,1.196215,1.218000,1.218000,0
2022-08-01,1.216782,1.229196,1.200769,1.207400,1.207400,0
2022-08-08,1.206389,1.227446,1.204863,1.214220,1.214220,0
2022-08-15,1.212989,1.214772,1.179329,1.183100,1.183100,0
2022-08-22,1.181768,1.190009,1.172003,1.175101,1.175101,0
2022-08-29,1.169180,1.175807,1.150324,1.151000,1.151000,0
2022-09-05,1.147855,1.164863,1.140953,1.160200,1.160200,0
2022-09-12,1.161805,1.173764,1.135267,1.153800,1.153800,0
2022-09-19,1.143641,1.146040,1.085000,1.086000,1.086000,0
2022-09-26,1.079914,1.123394,1.037904,1.115200,1.115200,0
2022-10-03,1.113648,1.149491,1.108795,1.108800,1.108800,0
2022-10-10,1.107444,1.136196,1.092645,1.117300,1.117300,0
2022-10-17,1.123873,1.143864,1.106378,1.130600,1.130600,0
2022-10-24,1.133645,1.164415,1.127370,1.161500,1.161500,0
2022-10-31,1.160079,1.161332,1.116258,1.137900,1.137900,0
2022-11-07,1.133787,1.159757,1.129535,1.151795,1.151795,0
