date,hour,type
10-20-22,0,low
10-20-22,9,low
10-20-22,11,low
10-20-22,24,low
10-20-22,24,low
10-20-22,13,low
10-20-22,18,low
10-21-22,1,medium
10-21-22,0,low
10-21-22,7,low
10-21-22,8,low
10-21-22,9,low
10-22-22,13,low
10-24-22,4,high
10-24-22,0,high
10-24-22,9,high
10-24-22,0,medium
10-24-22,10,low
10-24-22,11,medium
10-25-22,4,low
10-25-22,6,low
10-25-22,9,low
10-25-22,0,low
10-25-22,9,medium
10-25-22,10,high
10-25-22,13,medium
10-26-22,8,low
10-26-22,0,low
10-26-22,10,medium
10-26-22,10,low
10-27-22,6,low
10-27-22,8,high
10-27-22,0,medium
10-27-22,0,medium
10-27-22,0,medium
10-27-22,0,medium
10-27-22,10,low
10-28-22,8,high
10-28-22,0,low
10-28-22,0,low
10-28-22,0,low
10-28-22,10,medium
10-28-22,0,medium
10-28-22,0,low
10-29-22,22,holiday
10-31-22,5,low
10-31-22,0,low
10-31-22,0,low
10-31-22,9,low
10-31-22,16,low
11-1-22,3,low
11-1-22,5,low
11-1-22,9,low
11-1-22,10,high
11-1-22,0,high
11-1-22,0,low
11-1-22,0,low
11-1-22,0,low
11-1-22,20,low
11-2-22,8,high
11-2-22,10,low
11-2-22,14,high
11-2-22,0,high
11-2-22,14,high
11-3-22,5,low
11-3-22,7,low
11-3-22,8,high
11-3-22,0,high
11-3-22,0,high
11-3-22,0,high
11-3-22,8,high
11-3-22,0,medium
11-3-22,0,low
11-3-22,0,low
11-3-22,0,low
11-3-22,9,low
11-3-22,10,high
11-3-22,0,low
11-3-22,10,low
11-3-22,16,low
11-4-22,5,low
11-4-22,8,low
11-4-22,8,high
11-4-22,0,high
11-4-22,0,high
11-4-22,10,medium
11-4-22,16,low
11-6-22,2,holiday
11-7-22,2,low
11-7-22,14,low
11-7-22,15,low
11-7-22,15,low
11-7-22,0,low
11-7-22,19,low
11-8-22,4,low
11-8-22,5,low
11-8-22,10,low
11-8-22,0,high
11-8-22,11,low
